ArraySize, Bubble Sort, Merge Sort, Counting Sort, Quick Sort, Timsort
100, 7.31961727142334, 1.203155517578125, 0.2006053924560547, 0.40111541748046875, 0.10023117065429688
200, 29.57916259765625, 3.208446502685547, 0.40106773376464844, 0.9024858474731445, 0.10027885437011719
300, 57.152748107910156, 5.214118957519531, 1.1027812957763672, 1.7045021057128906, 0.10020732879638672
400, 97.86174297332764, 9.42525863647461, 0.8019924163818359, 1.905226707458496, 0.2004384994506836
500, 150.80327987670898, 11.530780792236328, 1.103043556213379, 4.712533950805664, 0.20077228546142578
600, 220.22550106048584, 10.728716850280762, 2.0052433013916016, 3.3089399337768555, 0.20062923431396484
700, 373.2980012893677, 18.249058723449707, 2.8074026107788086, 3.2088279724121094, 0.3004789352416992
800, 337.2016191482544, 17.546987533569336, 2.105569839477539, 4.913163185119629, 0.7017612457275391
900, 475.87223052978516, 19.251489639282227, 2.406477928161621, 4.51200008392334, 0.2006053924560547
1000, 491.8149709701538, 21.457481384277344, 3.108334541320801, 6.717944145202637, 0.5013465881347656
