ArraySize, Bubble Sort, Merge Sort, Counting Sort, Quick Sort, Timsort
100, 6.635109583536784, 0.6686051686604818, 0.0, 0.3344217936197917, 0.0
250, 40.421644846598305, 2.673943837483724, 0.3768603006998698, 0.5286534627278646, 0.0
500, 144.7166601816813, 12.700557708740234, 1.3368924458821614, 2.2420883178710938, 0.20917256673177084
750, 369.65441703796387, 13.029654820760092, 2.3502508799235025, 4.977703094482422, 0.16840298970540366
1000, 703.5368283589681, 16.09150568644206, 1.3191699981689453, 7.871866226196289, 0.475009282430013
1250, 859.8065376281738, 25.400876998901367, 4.010756810506185, 8.565902709960938, 0.3470579783121745
2500, 3424.09078280131, 71.18924458821614, 9.993155797322592, 16.37729008992513, 1.0170936584472656
3750, 4826.448678970337, 101.62599881490071, 3.9982000986735025, 10.154167811075846, 0.8026758829752604
5000, 6773.971319198608, 139.71209526062012, 6.024281183878581, 18.692652384440105, 2.099911371866862
6250, 10489.90249633789, 198.9119052886963, 10.021448135375977, 50.66680908203125, 4.030545552571614
7500, 14756.224155426025, 276.1952082316081, 11.039972305297852, 26.39309565226237, 2.673625946044922
8750, 20434.675137201946, 352.6483376820882, 10.371049245198568, 33.07938575744629, 6.065209706624349
10000, 26041.24625523885, 489.7464911142985, 27.50563621520996, 59.168100357055664, 3.4613609313964844
